time,temp
2025-07-07 21:00:00,17.0
2025-07-07 22:00:00,16.0
2025-07-07 23:00:00,16.0
2025-07-08 00:00:00,15.0
2025-07-08 01:00:00,15.0
2025-07-08 02:00:00,15.0
2025-07-08 03:00:00,14.0
2025-07-08 04:00:00,14.0
2025-07-08 05:00:00,14.0
2025-07-08 06:00:00,13.0
2025-07-08 07:00:00,14.0
2025-07-08 08:00:00,14.0
2025-07-08 09:00:00,15.0
2025-07-08 10:00:00,17.0
2025-07-08 11:00:00,19.2
2025-07-08 12:00:00,21.2
2025-07-08 13:00:00,22.6
2025-07-08 14:00:00,23.7
2025-07-08 15:00:00,24.1
2025-07-08 16:00:00,24.0
2025-07-08 17:00:00,23.2
2025-07-08 18:00:00,21.0
2025-07-08 19:00:00,19.3
2025-07-08 20:00:00,18.5
