time,temp
2024-03-02 21:00:00,31.1
2024-03-02 22:00:00,30.3
2024-03-02 23:00:00,29.5
2024-03-03 00:00:00,28.5
2024-03-03 01:00:00,28.0
2024-03-03 02:00:00,28.2
2024-03-03 03:00:00,28.1
2024-03-03 04:00:00,28.3
2024-03-03 05:00:00,22.5
2024-03-03 06:00:00,22.2
2024-03-03 07:00:00,22.1
2024-03-03 08:00:00,22.5
2024-03-03 09:00:00,22.1
2024-03-03 10:00:00,22.3
2024-03-03 11:00:00,22.4
2024-03-03 12:00:00,22.1
2024-03-03 13:00:00,21.8
2024-03-03 14:00:00,22.0
2024-03-03 15:00:00,22.6
2024-03-03 16:00:00,28.0
2024-03-03 17:00:00,24.5
2024-03-03 18:00:00,24.1
2024-03-03 19:00:00,24.2
2024-03-03 20:00:00,23.8
