time,temp
2024-12-20 21:00:00,25.5
2024-12-20 22:00:00,24.5
2024-12-20 23:00:00,24.3
2024-12-21 00:00:00,24.4
2024-12-21 01:00:00,24.1
2024-12-21 02:00:00,23.1
2024-12-21 03:00:00,21.9
2024-12-21 04:00:00,21.5
2024-12-21 05:00:00,20.9
2024-12-21 06:00:00,20.7
2024-12-21 07:00:00,21.1
2024-12-21 08:00:00,25.9
2024-12-21 09:00:00,28.5
2024-12-21 10:00:00,30.3
2024-12-21 11:00:00,30.3
2024-12-21 12:00:00,31.9
2024-12-21 13:00:00,32.1
2024-12-21 14:00:00,32.9
2024-12-21 15:00:00,33.1
2024-12-21 16:00:00,34.1
2024-12-21 17:00:00,33.4
2024-12-21 18:00:00,33.5
2024-12-21 19:00:00,32.3
2024-12-21 20:00:00,29.5
